event_index,victim,original_v1_id,assigned_v2_id,replacement_policy,conflict_reason,floor_code,tier_index,replacement_floor_code,replacement_tier_index,incident_block,incident_transaction
94,0x672399798c81FB80f810424a62e032cE169f8D12,1595,1182,same-floor-same-tier,pause-block-holder,9,1,9,1,34949947,0x5153ab69588d384eb9b60d19c6a7f316e9f8b51b962754bb1b8fce2d1e55194a
95,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,1615,540,same-floor-same-tier,pause-block-holder,0,0,0,0,34949963,0x78122cb64560fee39c34522e0bb351ce37eba7e8629fb18dab8973e7185bc377
96,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,1678,1049,same-floor-same-tier,pause-block-holder,8,0,8,0,34949977,0x21e9983727843ec13bb9158ea14d545f064fe40cce0383fb372dd541b66f4889
97,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,1752,201,same-floor-same-tier,pause-block-holder,3,1,3,1,34949993,0xf14d29233e0896e8ea41d78f1b7c2dce3e73ed61b1ea0994c3f4b187fc9f14da
98,0xcdeA19E6d247619ed5feFE47B4992EA577aD2142,1836,1836,exact-id,,1,1,1,1,34950007,0x83387349e2981437a81b58c5e4efb5e18066972bf878cc0fb892418207f6caaf
99,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,1869,1869,exact-id,,0,0,0,0,34950021,0xf22f07a6d059b2e87a7d2c71026f17765085434eb8354be875924db10be84072
100,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,1914,750,same-floor-same-tier,pause-block-holder,4,1,4,1,34950038,0x99a6a3923a9b2ba90b998a24afc5195805a75ae14b6ec8e0704438ce1153ee9d
101,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,1946,1946,exact-id,,1,0,1,0,34950054,0xe8001f02ef39a6a4a5a40e36178cb6954dc3a9af9e4de0370ad8b83ca987d746
102,0xaEF0e0E3908dAc3724f7D3d9362e1bD303D9F84A,1957,183,same-floor-same-tier,pause-block-holder,3,2,3,2,34950068,0xbcb1aae090a85afa44c6acba5e15e57c407af81e65aff2f96e20652fde47fb07
103,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,2087,2087,exact-id,,2,1,2,1,34950082,0x65a292022edeffb58a941f2ff977b7f080c2f40a23cd27addd579ff2b7ca723a
104,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,2183,450,same-floor-same-tier,pause-block-holder,4,0,4,0,34950097,0x4a1e67438d94229cb13461b1f573bf26eefe6af8b6a9fe504bd52c0a588280b8
105,0x8FfDBCAEB22E3f577a4EfBC45b7823d4659AD280,2314,2314,exact-id,,7,1,7,1,34950112,0xd22658df88da947526c6ead38ce40eee9ae35ec7a92e3554f10207dea32d8133
106,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,2377,2377,exact-id,,9,0,9,0,34950128,0x7d67ad939f2450e48809f89cced89073d01dc9fb01fcea0e6b2e3a0fc469fd15
107,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,2385,561,same-floor-same-tier,pause-block-holder,0,0,0,0,34950142,0x9ad2e90ceb9991099ec128bca1f79e88e7deaa9e333b8a0fcc7bd9ddf6ce2e13
108,0x672399798c81FB80f810424a62e032cE169f8D12,2398,1203,same-floor-same-tier,pause-block-holder,8,0,8,0,34950157,0xdf777d2187fb175281dec7f21e791defa4c9fdd8c2fa143327cec9aaf7d51aeb
109,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,2509,2509,exact-id,,0,0,0,0,34950172,0x459fcd79ccbc8ded0dafd2dd11807ee8d5840d39939616a7afd76629e95ea3ad
110,0xa134E5B2845D348dC3070c06691988E221B9f2cE,2520,2520,exact-id,,8,1,8,1,34950187,0x5d37bb78c485f239bdd1b978be5dd22b9c7a4608b99cbf04ae08d87e1e5cf7f1
111,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,2521,2521,exact-id,,7,0,7,0,34950203,0xeea3296cc3adc27c75d001c2ae385b515555d369b6e3ab0f602930e85863f4d5
112,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,2526,2526,exact-id,,4,0,4,0,34950219,0xa1965b53eb15ff8e919847cc7d599cbc3d6f9a205038c08b7a11aca6e30af060
113,0xf89C94f43B36719046b55E2AE60BacBfc0dB1C6a,2600,2600,exact-id,,7,0,7,0,34950232,0x91df148ee1352d9cd46e7595272168aba7af5c4249c06bdd990a557de5778292
114,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,2607,1205,same-floor-same-tier,pause-block-holder,8,0,8,0,34950250,0x17247e202ff9f487f5aaedd577fd77fae491066a51f18b9628fd666c5f6e1ccf
115,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,2627,2627,exact-id,,0,0,0,0,34950263,0xaa938bf60c7558615298d86f1d49ccac19e977b567dd3d98772f350310a2cd29
116,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,2747,2747,exact-id,,7,0,7,0,34950278,0x209b33b7f029bb01050aa80bb18d65978568eda5f7b4ef7238e5ace81da6ff47
117,0x672399798c81FB80f810424a62e032cE169f8D12,2775,2775,exact-id,,9,1,9,1,34950293,0x2bac3a841f4af03fb268da0cd72a204f810ec3e44cca746e16968b684ad5bd3b
118,0xb55Df3a73E9f8bc8E41E83f387695EACDaB269D2,2800,403,same-floor-same-tier,pause-block-holder,7,1,7,1,34950308,0x5d971cf6140dff38dc72a9f002a793d8d0c10db0cbae7c152aaddd31f2582bac
119,0xa134E5B2845D348dC3070c06691988E221B9f2cE,2823,156,same-floor-same-tier,repeated-incident-id,9,0,9,0,34950323,0x73c5c191839e338d3ae8adfdc3acb4c4e652e667a1e5aed10a0fdbe48f69a095
120,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,2909,2909,exact-id,,1,0,1,0,34950338,0x2cdbcffe431b52cf9dea341025a9a45e5e7e0f21cc7566583aa6c655535cdb79
121,0x9556fbd010dcF8DAFa5c6082C9c146e537d9Af74,2934,2934,exact-id,,1,1,1,1,34950353,0x39ff81c6b5fbaa325725f7e9a496a512e79406cd4ee801d288b60a907fee2fc6
122,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3107,3107,exact-id,,8,1,8,1,34950368,0x5fa4a7c9f0cc836904a021bb3e5ad74a1447023912e31e675634de0c04a23c82
123,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3114,422,same-floor-same-tier,pause-block-holder,7,0,7,0,34950383,0xe212109f832fdd68e5b38ae39b8c87273cd670821b739734848488f484c161f9
124,0x672399798c81FB80f810424a62e032cE169f8D12,3122,279,same-floor-same-tier,pause-block-holder,3,1,3,1,34950398,0x469cd1b7eb85addb30947dde4e080e9d02fe1c5cba5274c15940b443c253d342
125,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,3145,3145,exact-id,,7,0,7,0,34950413,0xf69d061057192ec21ff1918fe09b0da23fd6bd4da038681d904bcec1d41cc3d4
126,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3166,3166,exact-id,,1,1,1,1,34950428,0xda13a95240c4db19fd7cd2d8429faaa86a0f11bdc4ef2533c62469364148262a
127,0x561A7818742874bd14f05B3f999BaB1FeAf4c84a,3253,80,same-floor-same-tier,pause-block-holder,3,0,3,0,34950445,0xb7cf40609a4d7dc25d34eb6d7603db3f6d2d0eef067805fe48cd63cb4e47bff0
128,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3263,3263,exact-id,,1,0,1,0,34950458,0x406ed24021f845266f27a0b3beeb5cb694fdc3c0683c1efbb856073459badd31
129,0x9556fbd010dcF8DAFa5c6082C9c146e537d9Af74,3264,3264,exact-id,,2,0,2,0,34950474,0xabaad097eb1580ba6a9b57f0c6c5b4f52205d58c9a68e7abb87a3c4e2bbc0459
130,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,3376,557,same-floor-same-tier,pause-block-holder,5,1,5,1,34950489,0x7935db2ff051776a031d91dd190a3e94687a9f1db9bf9f30ca9650a5a760d689
131,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3430,1230,same-floor-same-tier,pause-block-holder,8,0,8,0,34950504,0x6a20c9ee133b7efb29b3a549f39227ab17e832aead31cf202e9f95c422218bf2
132,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3460,61,same-floor-same-tier,pause-block-holder,5,0,5,0,34950519,0xdb9a37f54e77e483522f6be5343263eb66d611295d001b0792b606481bbd8c8d
133,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,3489,3489,exact-id,,5,0,5,0,34950534,0x8b3d11859576bdd25e2d7c02677e7acdbac896daeda84a4326d30b80a6fc67c0
134,0x561A7818742874bd14f05B3f999BaB1FeAf4c84a,3491,1013,same-floor-same-tier,pause-block-holder,8,1,8,1,34950550,0x2c56b8a391a1cdebab6c509bc2fd22f74632973ab9f35b89315324f43f2fa667
135,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3493,252,same-floor-same-tier,pause-block-holder,7,2,7,2,34950563,0xf333095087ad305a228f909039b021404df0a5f67ebfe0c0549c15b95077b2e9
136,0x672399798c81FB80f810424a62e032cE169f8D12,3561,3561,exact-id,,4,0,4,0,34950579,0xccf28cf04a2a6f07a98e27ea1d00d621e5d84e0b1253f6e98c78851142a68a86
137,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,3577,3577,exact-id,,6,1,6,1,34950594,0x29d138afdeed18125ea3cbb7d28578bd0be9efe2f90bad145becb315da0bff09
