block_number,transaction_hash,transaction_index,log_index,pool_id_or_address,quote_symbol,direction,quotron_amount_wei,quotron_amount
34996850,0xcb627fb64fa6b3381e6daf9271509f1d4832a7099b6e3f45a28ad32488543818,10,159,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,322238099833115613,0.322238099833115613
34996851,0x819ca193694e7f69b9d9d721ea36a42e1e1a99be676356c28387f2e5228a3d7e,11,7,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,76234133738679554,0.076234133738679554
34996851,0x819ca193694e7f69b9d9d721ea36a42e1e1a99be676356c28387f2e5228a3d7e,11,10,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,buy-quotron,76234133738679554,0.076234133738679554
34996853,0x09f81c6f4533efa9c14946f9402cbdac5b7dd6ed8de1264e5d6f6e8bdcca0be5,3,4,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,16712681338054900,0.0167126813380549
34996853,0x09f81c6f4533efa9c14946f9402cbdac5b7dd6ed8de1264e5d6f6e8bdcca0be5,3,5,0x12d26766632d986c7efe362c9b6bb7b7bf1551490f8847489e7236a060a99063,USDG,buy-quotron,16712681338054900,0.0167126813380549
34996873,0x7d8953fb7a5f1fc671dc15af2d01ee3bfb536eef0610c2723a2c7daaf16a6f94,8,28,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,53835364507781520,0.05383536450778152
34996992,0x27ecd2ebb141962cb0975a7366152b936afcb3c743ea08284d0c5fa9443a657f,6,31,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,55051847931977359,0.055051847931977359
34996998,0xee5af77b1fee5db171229e38d3b2921e9ae54390409664866a597a8d49f7aaa4,1,0,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,1000000000000000000,1
34997051,0x771ef6657e80dcde3d7cdf3bf5fa1029766dff22a69a16bce6d190183764c94a,14,5,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,994504788171563930,0.99450478817156393
34997079,0xefc9e6beee9fd01ee41a135c56f50eb3dceffe683134c100e823b83091989d11,14,57,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,1000000000000000000,1
34997189,0x259c21f85f5e21b767883dd5017fe923960d6aef0cd561ed8d445a8a9e6d6bb8,2,6,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1056122344819407390,1.05612234481940739
34997349,0x5c1c51f62fcfef778b6429c8915ced6a1d3887a854b872e7802c68d6bb307999,6,20,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,49086766050394099,0.049086766050394099
34997520,0xf175ef54839987bf182d496fc77709eeeb4910d2308d4d8bee8e0f7340c25703,12,35,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,48314541478539384,0.048314541478539384
